timestamp,label,image_build,kernel,kernel_version,realtime,isolated,affinity,governor,load,duration_s,toggle_us,ext_edges,ext_mean_us,ext_sd_us,ext_p999_us,ext_max_us,ext_ppm,ext_subsample,int_min_us,int_mean_us,int_max_us,int_p999_us,cyc_min_us,cyc_avg_us,cyc_max_us,throttled_before,throttled_after
2026-09-17T03:55:59Z,generic,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,no,ondemand,no,60,1000,30000,2000.079,5.950,50.905,189.776,39.394,0.147,6.029,12.826,194.747,61,4,13,77,0x0,0x0
2026-09-17T04:23:40Z,generic-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,no,ondemand,yes,60,1000,29994,1999.787,20.220,95.771,1100.048,-106.520,0.145,6.096,20.698,323.732,136,4,14,277,0x0,0x0
2026-09-17T04:27:31Z,generic-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,no,performance,yes,60,1000,29990,1999.596,23.391,100.397,1196.391,-202.066,0.148,6.030,20.078,277.165,138,3,8,488,0x0,0x0
2026-09-17T04:34:16Z,generic-aff-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,yes,performance,yes,60,1000,29991,1999.707,18.135,91.169,948.817,-146.548,0.150,6.011,22.033,513.902,177,4,9,483,0x0,0x0
2026-09-17T04:50:40Z,generic-iso-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,no,performance,yes,60,1000,29347,1999.745,17.204,59.697,899.730,-127.444,0.151,6.153,18.359,122.479,96,4,5,99,0x0,0x0
2026-09-17T04:55:32Z,generic-iso-aff-performance,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,yes,performance,no,60,1000,29999,1999.952,3.357,10.398,30.032,-23.894,0.148,5.969,6.791,37.847,16,4,4,42,0x0,0x0
2026-09-17T04:59:48Z,generic-iso-aff-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,yes,performance,yes,60,1000,29829,1999.720,17.278,41.053,1079.631,-140.104,0.149,6.080,18.217,150.584,86,3,6,116,0x0,0x0
2026-09-17T05:09:02Z,generic-iso-aff-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,yes,ondemand,yes,60,1000,28966,2000.088,19.906,79.802,1049.517,43.848,0.148,5.831,20.200,199.452,120,4,6,125,0x0,0x0
